

============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    4       5       0       5      -1      -1       0      -1      -1   
    5       6       0       6      -1      -1       0      -1      -1   
    6       7       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       0       1       2      -1      -1       0      -1      -1   
    1       0       1       4      -1      -1       0      -1      -1   
    2       1       0       4      -1      -1       0      -1      -1   
    3       1       1       5       2       6       0       1       2   
    4       2       0       5      -1      -1       0      -1      -1   
    5       3       0       6      -1      -1       0      -1      -1   
    6       7       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       0       1       3      -1      -1       0      -1      -1   
    1       0       1       4      -1      -1       0      -1      -1   
    2       0       1       5       3       6       0       1       2   
    3       1       0       4      -1      -1       0      -1      -1   
    4       2       0       5      -1      -1       0      -1      -1   
    5       3       0       6      -1      -1       0      -1      -1   
    6       7       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       0       1       4      -1      -1       0      -1      -1   
    1       1       1       3      -1      -1       0      -1      -1   
    2       1       1       5       3       6       0       1       2   
    3       4       0       4      -1      -1       0      -1      -1   
    4       5       0       5      -1      -1       0      -1      -1   
    5       6       0       6      -1      -1       0      -1      -1   
    6       7       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       0       1       4      -1      -1       0      -1      -1   
    1       0       1       5       3       6       0       1       2   
    2       1       1       3      -1      -1       0      -1      -1   
    3       4       0       4      -1      -1       0      -1      -1   
    4       5       0       5      -1      -1       0      -1      -1   
    5       6       0       6      -1      -1       0      -1      -1   
    6       7       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       0       1       3      -1      -1       0      -1      -1   
    1       1       1       4      -1      -1       0      -1      -1   
    2       1       1       5       3       6       0       1       2   
    3       4       0       4      -1      -1       0      -1      -1   
    4       5       0       5      -1      -1       0      -1      -1   
    5       6       0       6      -1      -1       0      -1      -1   
    6       7       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       0       1       3      -1      -1       0      -1      -1   
    1       0       1       5       3       6       0       1       2   
    2       1       1       4      -1      -1       0      -1      -1   
    3       4       0       4      -1      -1       0      -1      -1   
    4       5       0       5      -1      -1       0      -1      -1   
    5       6       0       6      -1      -1       0      -1      -1   
    6       7       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       0       1       1      -1      -1       0      -1      -1   
    1       1       0       4      -1      -1       0      -1      -1   
    2       1       1       4      -1      -1       0      -1      -1   
    3       1       1       5       1       6       0       1       2   
    4       2       0       5      -1      -1       0      -1      -1   
    5       6       0       6      -1      -1       0      -1      -1   
    6       7       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       0       1       3      -1      -1       0      -1      -1   
    1       0       1       5       3       6       0       1       2   
    2       1       1       4      -1      -1       0      -1      -1   
    3       1       0       4      -1      -1       0      -1      -1   
    4       2       0       5      -1      -1       0      -1      -1   
    5       6       0       6      -1      -1       0      -1      -1   
    6       7       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       0       1       3      -1      -1       0      -1      -1   
    1       0       1       4      -1      -1       0      -1      -1   
    2       1       1       5       3       6       0       1       2   
    3       4       0       4      -1      -1       0      -1      -1   
    4       5       0       5      -1      -1       0      -1      -1   
    5       6       0       6      -1      -1       0      -1      -1   
    6       7       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       0       1       3      -1      -1       0      -1      -1   
    1       1       1       4      -1      -1       0      -1      -1   
    2       1       1       5       3       6       0       1       2   
    3       3       0       4      -1      -1       0      -1      -1   
    4       5       0       5      -1      -1       0      -1      -1   
    5       6       0       6      -1      -1       0      -1      -1   
    6       7       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       0       1       3      -1      -1       0      -1      -1   
    1       1       1       5       3       6       0       1       2   
    2       2       1       4      -1      -1       0      -1      -1   
    3       3       0       4      -1      -1       0      -1      -1   
    4       5       0       5      -1      -1       0      -1      -1   
    5       6       0       6      -1      -1       0      -1      -1   
    6       7       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       0       1       3      -1      -1       0      -1      -1   
    1       1       1       5       3       6       0       1       2   
    2       2       1       4      -1      -1       0      -1      -1   
    3       3       0       4      -1      -1       0      -1      -1   
    4       4       0       5      -1      -1       0      -1      -1   
    5       6       0       6      -1      -1       0      -1      -1   
    6       7       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       0       1       3      -1      -1       0      -1      -1   
    1       0       1       5       3       6       0       1       2   
    2       2       1       4      -1      -1       0      -1      -1   
    3       3       0       4      -1      -1       0      -1      -1   
    4       4       0       5      -1      -1       0      -1      -1   
    5       6       0       6      -1      -1       0      -1      -1   
    6       7       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       0       1       3      -1      -1       0      -1      -1   
    1       0       1       4      -1      -1       0      -1      -1   
    2       0       1       5       3       6       0       1       2   
    3       4       0       4      -1      -1       0      -1      -1   
    4       5       0       5      -1      -1       0      -1      -1   
    5       6       0       6      -1      -1       0      -1      -1   
    6       7       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       0       1       3      -1      -1       0      -1      -1   
    1       0       1       4      -1      -1       0      -1      -1   
    2       0       1       5       3       6       0       1       2   
    3       3       0       4      -1      -1       0      -1      -1   
    4       5       0       5      -1      -1       0      -1      -1   
    5       6       0       6      -1      -1       0      -1      -1   
    6       7       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       0       1       3      -1      -1       0      -1      -1   
    1       0       1       5       3       6       0       1       2   
    2       1       1       4      -1      -1       0      -1      -1   
    3       1       0       4      -1      -1       0      -1      -1   
    4       3       0       5      -1      -1       0      -1      -1   
    5       6       0       6      -1      -1       0      -1      -1   
    6       7       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       0       1       3      -1      -1       0      -1      -1   
    1       1       1       4      -1      -1       0      -1      -1   
    2       1       1       5       3       6       0       1       2   
    3       3       0       4      -1      -1       0      -1      -1   
    4       4       0       5      -1      -1       0      -1      -1   
    5       6       0       6      -1      -1       0      -1      -1   
    6       7       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       0       1       4      -1      -1       0      -1      -1   
    1       3       1       3      -1      -1       0      -1      -1   
    2       3       1       5       3       6       0       1       2   
    3       4       0       4      -1      -1       0      -1      -1   
    4       5       0       5      -1      -1       0      -1      -1   
    5       6       0       6      -1      -1       0      -1      -1   
    6       7       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       0       1       4      -1      -1       0      -1      -1   
    1       1       1       5       3       6       0       1       2   
    2       3       1       3      -1      -1       0      -1      -1   
    3       4       0       4      -1      -1       0      -1      -1   
    4       5       0       5      -1      -1       0      -1      -1   
    5       6       0       6      -1      -1       0      -1      -1   
    6       7       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       1       1       4      -1      -1       0      -1      -1   
    1       1       1       5       3       6       0       1       2   
    2       3       1       3      -1      -1       0      -1      -1   
    3       4       0       4      -1      -1       0      -1      -1   
    4       5       0       5      -1      -1       0      -1      -1   
    5       6       0       6      -1      -1       0      -1      -1   
    6       7       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       0       1       4      -1      -1       0      -1      -1   
    1       0       1       5       3       6       0       1       2   
    2       3       1       3      -1      -1       0      -1      -1   
    3       4       0       4      -1      -1       0      -1      -1   
    4       5       0       5      -1      -1       0      -1      -1   
    5       6       0       6      -1      -1       0      -1      -1   
    6       7       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       0       1       2      -1      -1       0      -1      -1   
    1       0       1       4      -1      -1       0      -1      -1   
    2       1       0       4      -1      -1       0      -1      -1   
    3       1       1       5       2       6       0       1       2   
    4       2       0       5      -1      -1       0      -1      -1   
    5       3       0       6      -1      -1       0      -1      -1   
    6       4       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       1       1       4      -1      -1       0      -1      -1   
    1       3       1       3      -1      -1       0      -1      -1   
    2       3       1       5       3       6       0       1       2   
    3       4       0       4      -1      -1       0      -1      -1   
    4       5       0       5      -1      -1       0      -1      -1   
    5       6       0       6      -1      -1       0      -1      -1   
    6       7       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       0       1       1      -1      -1       0      -1      -1   
    1       1       0       4      -1      -1       0      -1      -1   
    2       1       1       4      -1      -1       0      -1      -1   
    3       1       1       5       1       6       0       1       2   
    4       2       0       5      -1      -1       0      -1      -1   
    5       3       0       6      -1      -1       0      -1      -1   
    6       4       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       0       1       4      -1      -1       0      -1      -1   
    1       1       1       3      -1      -1       0      -1      -1   
    2       1       1       5       3       6       0       1       2   
    3       2       0       4      -1      -1       0      -1      -1   
    4       3       0       5      -1      -1       0      -1      -1   
    5       4       0       6      -1      -1       0      -1      -1   
    6       6       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       0       1       4      -1      -1       0      -1      -1   
    1       1       1       3      -1      -1       0      -1      -1   
    2       1       1       5       3       6       0       1       2   
    3       2       0       4      -1      -1       0      -1      -1   
    4       3       0       5      -1      -1       0      -1      -1   
    5       4       0       6      -1      -1       0      -1      -1   
    6       5       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       1       1       3      -1      -1       0      -1      -1   
    1       1       1       4      -1      -1       0      -1      -1   
    2       1       1       5       3       6       0       1       2   
    3       2       0       4      -1      -1       0      -1      -1   
    4       3       0       5      -1      -1       0      -1      -1   
    5       4       0       6      -1      -1       0      -1      -1   
    6       5       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       0       1       4      -1      -1       0      -1      -1   
    1       1       1       3      -1      -1       0      -1      -1   
    2       3       1       5       3       6       0       1       2   
    3       4       0       4      -1      -1       0      -1      -1   
    4       5       0       5      -1      -1       0      -1      -1   
    5       6       0       6      -1      -1       0      -1      -1   
    6       7       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       0       1       4      -1      -1       0      -1      -1   
    1       1       1       3      -1      -1       0      -1      -1   
    2       1       1       5       3       6       0       1       2   
    3       4       0       4      -1      -1       0      -1      -1   
    4       5       0       5      -1      -1       0      -1      -1   
    5       6       0       6      -1      -1       0      -1      -1   
    6       7       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       1       1       3      -1      -1       0      -1      -1   
    1       1       1       4      -1      -1       0      -1      -1   
    2       1       1       5       3       6       0       1       2   
    3       4       0       4      -1      -1       0      -1      -1   
    4       5       0       5      -1      -1       0      -1      -1   
    5       6       0       6      -1      -1       0      -1      -1   
    6       7       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       1       1       3      -1      -1       0      -1      -1   
    1       1       1       5       3       6       0       1       2   
    2       2       1       4      -1      -1       0      -1      -1   
    3       4       0       4      -1      -1       0      -1      -1   
    4       5       0       5      -1      -1       0      -1      -1   
    5       6       0       6      -1      -1       0      -1      -1   
    6       7       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       0       1       4      -1      -1       0      -1      -1   
    1       1       1       3      -1      -1       0      -1      -1   
    2       2       1       5       3       6       0       1       2   
    3       4       0       4      -1      -1       0      -1      -1   
    4       5       0       5      -1      -1       0      -1      -1   
    5       6       0       6      -1      -1       0      -1      -1   
    6       7       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       1       1       3      -1      -1       0      -1      -1   
    1       1       1       4      -1      -1       0      -1      -1   
    2       2       1       5       3       6       0       1       2   
    3       4       0       4      -1      -1       0      -1      -1   
    4       5       0       5      -1      -1       0      -1      -1   
    5       6       0       6      -1      -1       0      -1      -1   
    6       7       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       1       1       3      -1      -1       0      -1      -1   
    1       2       1       4      -1      -1       0      -1      -1   
    2       2       1       5       3       6       0       1       2   
    3       4       0       4      -1      -1       0      -1      -1   
    4       5       0       5      -1      -1       0      -1      -1   
    5       6       0       6      -1      -1       0      -1      -1   
    6       7       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       0       1       4      -1      -1       0      -1      -1   
    1       1       1       3      -1      -1       0      -1      -1   
    2       1       1       5       3       6       0       1       2   
    3       2       0       4      -1      -1       0      -1      -1   
    4       3       0       5      -1      -1       0      -1      -1   
    5       5       0       6      -1      -1       0      -1      -1   
    6       6       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       1       1       3      -1      -1       0      -1      -1   
    1       1       1       4      -1      -1       0      -1      -1   
    2       1       1       5       3       6       0       1       2   
    3       2       0       4      -1      -1       0      -1      -1   
    4       3       0       5      -1      -1       0      -1      -1   
    5       5       0       6      -1      -1       0      -1      -1   
    6       6       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       0       1       2      -1      -1       0      -1      -1   
    1       0       1       4      -1      -1       0      -1      -1   
    2       2       0       4      -1      -1       0      -1      -1   
    3       2       1       5       2       6       0       1       2   
    4       3       0       5      -1      -1       0      -1      -1   
    5       4       0       6      -1      -1       0      -1      -1   
    6       6       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       0       1       4      -1      -1       0      -1      -1   
    1       1       1       3      -1      -1       0      -1      -1   
    2       1       1       5       3       6       0       1       2   
    3       2       0       4      -1      -1       0      -1      -1   
    4       5       0       5      -1      -1       0      -1      -1   
    5       6       0       6      -1      -1       0      -1      -1   
    6       7       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 1个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       0       1       4      -1      -1       0      -1      -1   
    1       1       1       5       3       6       0       1       2   
    2       3       1       3      -1      -1       0      -1      -1   
    3       4       0       4      -1      -1       0      -1      -1   
    4       5       0       5      -1      -1       0      -1      -1   
    5       6       0       6      -1      -1       0      -1      -1   
    6       7       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 1个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       0       1       4      -1      -1       0      -1      -1   
    1       0       1       5       3       6       0       1       2   
    2       3       1       3      -1      -1       0      -1      -1   
    3       4       0       4      -1      -1       0      -1      -1   
    4       5       0       5      -1      -1       0      -1      -1   
    5       6       0       6      -1      -1       0      -1      -1   
    6       7       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 1个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       1       1       4      -1      -1       0      -1      -1   
    1       1       1       5       3       6       0       1       2   
    2       3       1       3      -1      -1       0      -1      -1   
    3       4       0       4      -1      -1       0      -1      -1   
    4       5       0       5      -1      -1       0      -1      -1   
    5       6       0       6      -1      -1       0      -1      -1   
    6       7       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 1个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       0       1       5       3       6       0       1       2   
    1       1       1       4      -1      -1       0      -1      -1   
    2       3       1       3      -1      -1       0      -1      -1   
    3       4       0       4      -1      -1       0      -1      -1   
    4       5       0       5      -1      -1       0      -1      -1   
    5       6       0       6      -1      -1       0      -1      -1   
    6       7       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 1个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       0       1       2      -1      -1       0      -1      -1   
    1       0       1       4      -1      -1       0      -1      -1   
    2       1       0       4      -1      -1       0      -1      -1   
    3       1       1       5       2       6       0       1       2   
    4       2       0       5      -1      -1       0      -1      -1   
    5       3       0       6      -1      -1       0      -1      -1   
    6       7       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 1个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       0       1       3      -1      -1       0      -1      -1   
    1       0       1       4      -1      -1       0      -1      -1   
    2       0       1       5       3       6       0       1       2   
    3       1       0       4      -1      -1       0      -1      -1   
    4       2       0       5      -1      -1       0      -1      -1   
    5       3       0       6      -1      -1       0      -1      -1   
    6       7       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 1个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       0       1       4      -1      -1       0      -1      -1   
    1       1       1       3      -1      -1       0      -1      -1   
    2       1       1       5       3       6       0       1       2   
    3       4       0       4      -1      -1       0      -1      -1   
    4       5       0       5      -1      -1       0      -1      -1   
    5       6       0       6      -1      -1       0      -1      -1   
    6       7       0       7      -1      -1       0      -1      -1   
    7       8       0       8      -1      -1       0      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1   


============第 1个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2  dif0    dif1    dif2   
    0       0       1       4      -1      -1       0      -1      -1   
    1       0       1       5       3       6       0       1       2   
    2       1       1       3      -1      -1       0      -1      -1   
    3       4       0       4      -1      -1       0      -1      -1   
    4       5       0       5      -1      -1       0      -1      -1   
    5       6       0       6      -1      -1       0      -1      -1   
